IsCanceled,LeadTime,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests
0,6,0,2,1,0.0,0,2,0,0,0,0,0,0,0,0,2,0.0,0,0
1,88,0,4,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
1,65,0,4,1,0.0,0,0,0,0,0,0,0,0,0,0,2,68.0,0,1
1,92,2,4,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,2
1,100,0,2,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
1,79,0,3,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
0,3,0,3,1,0.0,0,2,0,0,0,0,0,1,0,0,3,58.67,0,0
1,63,1,3,1,0.0,0,0,0,0,0,0,0,0,0,0,2,68.0,0,0
1,62,2,3,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
1,62,2,3,2,0.0,0,0,0,0,0,0,0,0,0,0,2,76.5,0,1
0,43,0,2,2,0.0,0,2,0,0,0,0,0,0,0,0,3,86.0,0,0
0,43,0,2,2,0.0,0,2,0,0,0,0,0,1,0,0,3,43.0,0,0
0,43,0,2,2,0.0,0,2,0,0,0,0,0,0,0,0,3,86.0,0,0
0,4,0,2,1,0.0,0,2,0,0,0,0,0,0,0,0,3,63.0,0,0
1,43,0,2,2,0.0,0,2,0,0,0,0,0,0,0,0,3,86.0,0,0
0,43,0,2,1,0.0,0,2,0,0,0,0,0,1,0,0,3,63.0,0,0
1,43,0,2,1,0.0,0,2,0,0,0,0,0,0,0,0,3,63.0,0,0
0,43,0,2,2,0.0,0,2,0,0,0,0,0,0,0,0,3,86.0,0,0
0,43,0,2,2,0.0,0,2,0,0,0,0,0,0,0,0,3,86.0,0,0
1,43,0,2,1,0.0,0,2,0,0,0,0,0,0,0,0,3,63.0,0,0
